Respondent ID,Age Group,Education,Income Bracket,Living Area,Prior ADR Exposure,Tech Familiarity (1-5),General ADR Attitude (1-5),Privacy Concerns,Safety Concerns,Job Displacement,Public Space Impact,Reliability Concerns
523,18-30,Graduate Degree,100k-150k,Urban,Seen,5.0,2.9,5.0,3.4,4.7,2.8,3.9
524,18-30,High School,60k-100k,Urban,None,3.9,2.9,4.3,3.6,5.0,2.8,3.3
525,18-30,Bachelor's,>150k,Urban,Seen,3.7,2.8,4.5,3.0,4.1,2.2,2.8
526,18-30,Bachelor's,>150k,Urban,Seen,4.0,3.5,3.8,2.7,3.9,3.3,3.3
527,18-30,Bachelor's,>150k,Suburban,None,3.5,3.5,4.2,2.6,4.0,2.3,4.2
528,18-30,Some College,30k-60k,Suburban,Seen,3.6,3.3,4.2,2.3,4.3,2.1,2.8
529,18-30,High School,100k-150k,Urban,None,3.9,3.5,4.2,2.7,4.2,3.1,2.8
530,18-30,Bachelor's,60k-100k,Urban,None,3.3,3.4,4.4,3.3,4.3,2.5,2.7
531,18-30,High School,>150k,Urban,None,2.9,2.9,4.0,3.6,4.0,3.4,3.4
532,18-30,Bachelor's,<30k,Suburban,Seen,3.7,2.8,4.7,2.7,3.9,2.9,4.5
533,18-30,Some College,60k-100k,Suburban,None,4.0,4.0,3.8,3.8,3.4,2.5,2.4
534,18-30,Bachelor's,30k-60k,Urban,Interacted,3.6,3.9,3.7,3.0,3.9,2.9,2.8
535,18-30,Some College,60k-100k,Rural,None,5.0,3.1,4.3,2.8,3.5,1.6,2.9
536,18-30,Graduate Degree,60k-100k,Urban,Seen,5.0,4.2,3.4,2.9,3.6,2.9,3.4
537,18-30,Some College,100k-150k,Suburban,Interacted,4.4,3.5,4.6,3.1,4.3,2.6,2.6
538,18-30,Some College,60k-100k,Suburban,Seen,3.5,3.5,4.5,3.0,3.4,4.3,2.5
539,18-30,Bachelor's,60k-100k,Suburban,Interacted,4.1,4.2,3.8,3.9,4.1,2.4,4.1
540,18-30,Bachelor's,<30k,Urban,Interacted,3.3,2.8,4.1,3.5,4.2,3.3,3.0
541,18-30,Graduate Degree,100k-150k,Suburban,None,3.4,2.7,4.0,3.5,3.6,2.5,2.2
542,18-30,Some College,60k-100k,Urban,Interacted,4.8,3.6,4.0,3.7,3.5,2.9,3.2
543,18-30,High School,<30k,Urban,None,2.5,3.9,3.9,3.5,4.1,3.3,3.2
544,18-30,High School,100k-150k,Urban,None,3.3,3.4,4.4,2.4,3.3,2.4,3.0
545,18-30,Bachelor's,100k-150k,Suburban,Interacted,2.4,3.0,4.6,3.7,4.5,2.5,3.3
546,18-30,Some College,30k-60k,Suburban,Interacted,3.6,3.5,4.9,3.1,4.3,3.1,3.1
547,18-30,Bachelor's,100k-150k,Suburban,Seen,3.2,4.2,3.8,3.0,3.1,2.6,3.5
548,18-30,High School,30k-60k,Urban,Seen,4.0,2.9,3.5,2.3,3.8,2.7,3.3
549,18-30,Graduate Degree,<30k,Urban,Interacted,3.2,2.7,4.3,2.6,3.9,3.4,2.2
550,18-30,High School,<30k,Urban,Seen,3.4,2.9,4.5,3.2,4.5,2.4,2.8
551,18-30,Bachelor's,>150k,Rural,None,4.5,3.3,4.4,2.9,3.5,2.6,3.2
552,18-30,Some College,60k-100k,Suburban,None,4.3,3.6,3.6,3.0,2.8,1.8,3.0
553,18-30,Graduate Degree,100k-150k,Suburban,Seen,2.2,2.7,4.8,3.2,3.5,2.0,2.8
554,18-30,Some College,<30k,Urban,Interacted,3.4,4.4,4.1,3.0,3.2,3.5,2.8
555,18-30,Some College,30k-60k,Suburban,Seen,5.0,4.0,4.1,3.8,3.7,2.5,2.9
556,18-30,Graduate Degree,30k-60k,Suburban,Interacted,4.5,4.0,4.2,2.8,3.6,2.3,3.8
557,18-30,Graduate Degree,<30k,Urban,Interacted,2.9,4.0,3.7,3.3,3.7,2.2,4.1
558,18-30,Some College,>150k,Suburban,None,4.2,3.4,3.5,2.2,4.1,2.2,2.8
559,18-30,Some College,<30k,Suburban,Interacted,3.3,4.0,4.7,2.9,3.2,2.7,3.3
560,18-30,High School,30k-60k,Suburban,None,4.5,3.4,3.8,2.8,3.3,2.8,2.4
561,18-30,Graduate Degree,30k-60k,Suburban,Seen,4.1,2.2,3.5,2.9,3.2,3.2,3.2
562,18-30,Graduate Degree,30k-60k,Urban,Seen,2.7,4.0,3.9,2.7,3.6,3.2,2.9
563,18-30,Graduate Degree,<30k,Urban,Seen,4.6,3.0,5.0,3.7,3.8,2.6,3.7
564,18-30,High School,30k-60k,Urban,Seen,2.2,3.0,4.7,3.1,4.2,3.3,2.6
565,18-30,Bachelor's,100k-150k,Suburban,Seen,3.6,2.1,4.2,2.8,3.6,3.0,3.2
566,18-30,High School,100k-150k,Urban,Seen,1.9,3.2,3.6,4.1,4.1,2.8,3.0
567,18-30,Graduate Degree,60k-100k,Urban,None,3.9,3.9,4.9,2.5,3.2,2.7,2.7
568,18-30,Some College,60k-100k,Suburban,Seen,3.0,1.9,3.1,3.2,3.2,2.6,3.4
569,18-30,High School,<30k,Rural,None,4.3,3.2,3.8,2.7,4.8,3.2,2.9
570,18-30,High School,100k-150k,Suburban,Seen,4.4,3.3,4.3,2.5,3.1,2.4,2.7
571,18-30,Some College,<30k,Suburban,Interacted,5.0,4.3,4.0,3.4,3.8,2.5,3.2
572,18-30,Some College,<30k,Rural,Seen,5.0,4.6,4.9,2.6,3.7,2.2,3.5
573,18-30,Some College,100k-150k,Urban,Interacted,2.9,4.2,5.0,1.9,4.5,3.1,3.8
574,18-30,High School,30k-60k,Suburban,Interacted,3.0,3.5,3.8,3.1,4.4,2.8,3.4
575,18-30,Bachelor's,30k-60k,Rural,Interacted,3.9,3.2,5.0,3.2,3.7,3.0,2.8
576,18-30,High School,30k-60k,Urban,None,5.0,4.1,4.2,2.8,4.0,2.1,3.0
577,18-30,Bachelor's,60k-100k,Urban,None,4.6,3.6,4.0,3.9,5.0,2.7,2.2
578,18-30,High School,30k-60k,Suburban,None,3.6,3.1,4.5,3.3,3.8,2.9,3.2
579,18-30,High School,30k-60k,Rural,Seen,2.7,3.2,5.0,2.8,3.8,3.2,3.0
580,18-30,Bachelor's,>150k,Urban,Interacted,3.7,3.5,4.0,3.6,3.9,2.5,1.7
581,18-30,Some College,>150k,Urban,Seen,4.1,4.3,5.0,2.9,3.9,2.2,3.3
582,18-30,High School,>150k,Urban,None,3.2,3.4,4.8,2.7,4.3,2.9,3.1
583,18-30,Some College,60k-100k,Suburban,Interacted,3.5,4.4,4.0,3.4,3.9,3.5,2.0
584,18-30,Some College,60k-100k,Suburban,Seen,3.1,2.8,4.5,3.0,3.9,2.7,3.6
585,18-30,Some College,100k-150k,Urban,Interacted,4.3,3.1,4.0,3.2,4.0,2.8,2.6
586,18-30,Some College,100k-150k,Suburban,Interacted,3.3,5.0,4.2,2.2,4.6,4.0,3.0
587,18-30,Some College,<30k,Suburban,Seen,2.9,2.9,3.7,3.2,3.8,3.1,3.0
588,18-30,Some College,30k-60k,Suburban,Interacted,4.1,3.3,3.8,2.5,3.8,2.8,2.1
589,18-30,Bachelor's,60k-100k,Rural,Seen,3.8,3.1,3.9,2.9,4.2,2.6,2.9
590,18-30,Some College,30k-60k,Suburban,Seen,3.9,2.9,4.2,3.6,4.0,2.4,3.9
591,18-30,Some College,<30k,Suburban,Seen,4.1,3.4,4.1,3.2,4.1,3.0,2.9
592,18-30,Bachelor's,<30k,Urban,Interacted,3.4,3.0,4.5,2.9,4.8,2.4,2.7
593,18-30,Some College,30k-60k,Urban,Seen,4.4,3.7,4.3,3.3,3.9,2.6,2.8
594,18-30,Bachelor's,60k-100k,Urban,None,2.4,3.0,4.0,3.3,3.4,2.8,2.3
595,18-30,Graduate Degree,100k-150k,Suburban,None,4.1,2.5,3.6,3.1,2.8,2.7,2.5
596,18-30,Graduate Degree,<30k,Rural,Seen,3.0,2.5,3.9,2.8,4.3,2.8,3.3
597,18-30,High School,>150k,Urban,Seen,3.9,3.2,3.8,4.1,3.1,4.2,2.8
598,18-30,Bachelor's,<30k,Suburban,None,2.8,2.6,3.9,3.3,3.7,2.8,3.3
599,18-30,High School,30k-60k,Suburban,None,1.9,2.5,4.5,3.1,4.7,2.4,4.4
600,18-30,Some College,60k-100k,Rural,Seen,4.2,3.2,3.4,3.0,3.8,4.3,2.9
601,18-30,Graduate Degree,>150k,Urban,Seen,4.8,3.7,4.4,3.4,4.9,1.7,3.0
602,18-30,Bachelor's,<30k,Rural,Seen,1.9,3.2,3.0,3.7,4.6,2.9,2.6
603,18-30,Bachelor's,<30k,Urban,None,3.0,2.1,5.0,3.4,3.6,2.7,3.9
604,18-30,High School,<30k,Rural,Interacted,2.3,4.0,4.3,2.5,4.3,2.9,2.8
605,18-30,Some College,30k-60k,Suburban,None,4.8,2.6,3.5,4.0,3.1,2.6,3.0
606,18-30,High School,<30k,Suburban,Interacted,2.0,2.9,4.4,3.4,3.4,2.1,2.1
607,18-30,High School,30k-60k,Suburban,Interacted,4.0,3.4,3.6,3.6,3.2,2.7,2.9
608,18-30,High School,60k-100k,Urban,Seen,2.5,3.2,3.7,3.3,3.4,3.4,2.5
609,18-30,Bachelor's,<30k,Suburban,Seen,3.4,3.3,3.4,2.9,4.4,2.9,2.3
610,18-30,Some College,>150k,Urban,Seen,2.5,3.6,3.4,2.4,3.1,3.0,3.5
611,18-30,Bachelor's,<30k,Rural,Seen,3.3,3.2,3.0,3.3,4.9,2.8,2.0
612,18-30,Some College,30k-60k,Suburban,Interacted,3.6,3.2,3.7,3.4,3.9,3.4,3.2
613,18-30,Some College,60k-100k,Suburban,Interacted,2.9,3.4,4.0,3.3,4.2,3.8,3.1
614,18-30,Some College,60k-100k,Rural,Seen,3.9,2.3,4.5,3.7,4.1,2.3,2.6
615,18-30,Bachelor's,60k-100k,Urban,Interacted,3.6,3.5,4.9,4.0,4.9,3.2,2.8
616,18-30,Some College,100k-150k,Suburban,Seen,3.9,3.5,4.0,2.8,4.5,2.0,2.3
617,18-30,High School,<30k,Suburban,Seen,3.0,4.3,4.6,2.8,4.0,2.9,3.9
618,18-30,Some College,<30k,Suburban,Seen,4.1,3.2,3.9,3.8,4.0,3.2,3.6
619,18-30,Some College,100k-150k,Rural,None,2.8,3.2,4.1,2.9,3.3,2.9,3.1
620,18-30,Bachelor's,60k-100k,Urban,None,3.2,3.1,4.3,4.1,4.1,3.6,2.7
621,18-30,High School,100k-150k,Suburban,None,4.3,2.9,4.7,2.5,4.1,2.2,2.9
622,18-30,Bachelor's,30k-60k,Urban,Interacted,3.5,2.9,4.5,2.6,3.6,2.7,3.4
623,18-30,Some College,60k-100k,Rural,Seen,5.0,4.2,4.7,3.0,3.3,2.9,3.1
624,18-30,Some College,>150k,Suburban,Interacted,4.7,3.2,4.4,4.3,3.8,2.6,3.1
625,18-30,High School,<30k,Suburban,Seen,5.0,3.5,3.8,2.1,3.5,2.5,3.1
626,18-30,Bachelor's,<30k,Urban,None,5.0,3.4,3.7,3.5,4.3,3.3,3.6
627,18-30,High School,60k-100k,Suburban,None,4.1,3.9,3.1,3.1,4.3,2.1,3.4
628,18-30,Bachelor's,100k-150k,Suburban,Seen,3.5,4.5,3.9,4.4,4.2,2.8,3.4
629,18-30,High School,100k-150k,Suburban,Seen,3.9,3.1,3.6,2.6,3.7,3.1,3.3
630,18-30,Bachelor's,30k-60k,Urban,Seen,4.8,3.8,5.0,2.4,4.6,3.6,3.2
631,18-30,High School,30k-60k,Urban,None,4.0,3.5,3.8,3.1,3.8,3.2,3.0
632,31-45,High School,<30k,Urban,None,4.0,2.9,3.9,3.7,4.6,2.5,2.8
633,31-45,Graduate Degree,30k-60k,Suburban,None,2.3,2.2,3.9,3.3,4.5,2.7,2.6
634,31-45,Bachelor's,30k-60k,Suburban,Seen,4.5,3.2,4.0,3.9,3.8,3.0,2.3
635,31-45,Some College,100k-150k,Rural,None,4.8,2.8,4.0,3.1,4.1,2.7,3.3
636,31-45,Some College,<30k,Suburban,Seen,4.7,3.4,4.2,4.6,4.2,2.7,2.2
637,31-45,Graduate Degree,60k-100k,Suburban,Seen,2.7,3.7,2.7,3.6,4.9,4.2,2.6
638,31-45,High School,>150k,Urban,Seen,3.7,2.9,4.2,3.3,3.8,3.5,3.0
639,31-45,High School,60k-100k,Urban,None,5.0,4.0,2.8,4.1,3.5,2.2,2.6
640,31-45,High School,30k-60k,Urban,None,5.0,4.0,2.8,3.9,4.1,3.0,2.2
641,31-45,Some College,100k-150k,Suburban,Seen,4.1,3.0,3.4,3.6,4.9,3.0,3.4
642,31-45,High School,30k-60k,Suburban,None,2.7,2.7,3.8,3.4,4.7,1.7,2.7
643,31-45,High School,<30k,Urban,Seen,4.6,4.7,3.1,4.2,3.6,2.4,2.8
644,31-45,Some College,60k-100k,Urban,Seen,3.4,2.7,4.1,3.7,3.9,3.6,2.9
645,31-45,Some College,30k-60k,Urban,Interacted,4.4,3.1,4.5,3.7,4.0,1.7,3.0
646,31-45,Graduate Degree,60k-100k,Urban,Interacted,3.7,2.5,3.8,4.1,3.9,3.2,2.6
647,31-45,Graduate Degree,30k-60k,Suburban,None,4.2,3.7,4.2,3.1,5.0,2.6,2.4
648,31-45,Graduate Degree,100k-150k,Urban,Seen,3.3,3.1,3.6,4.0,4.5,2.3,3.3
649,31-45,Some College,60k-100k,Urban,None,2.9,3.1,2.7,3.5,4.6,3.2,2.6
650,31-45,Bachelor's,>150k,Urban,None,4.6,3.7,3.3,3.4,4.3,3.1,3.3
651,31-45,High School,<30k,Rural,Interacted,3.4,3.1,3.4,3.5,5.0,2.7,2.8
652,31-45,Graduate Degree,60k-100k,Urban,Seen,3.3,3.0,4.0,3.8,4.3,3.6,3.3
653,31-45,Bachelor's,30k-60k,Urban,None,4.6,3.1,4.1,4.0,4.9,3.0,3.0
654,31-45,Some College,<30k,Urban,Seen,2.2,3.5,3.3,3.6,3.5,3.6,3.4
655,31-45,Bachelor's,30k-60k,Suburban,Interacted,5.0,3.7,4.8,3.3,4.5,2.6,2.7
656,31-45,Graduate Degree,30k-60k,Suburban,None,3.4,3.4,4.9,3.5,4.9,2.9,2.1
657,31-45,Some College,100k-150k,Urban,None,3.4,2.9,3.2,4.1,4.3,3.0,2.7
658,31-45,Graduate Degree,>150k,Urban,Seen,3.8,3.5,4.3,3.2,4.1,3.0,2.7
659,31-45,Bachelor's,30k-60k,Urban,Interacted,3.5,3.4,3.7,2.9,5.0,3.5,2.8
660,31-45,Bachelor's,30k-60k,Urban,Seen,4.9,4.7,2.8,4.1,4.8,2.8,3.1
661,31-45,Some College,30k-60k,Urban,Interacted,3.9,4.8,3.6,3.5,4.4,2.8,3.0
662,31-45,Graduate Degree,60k-100k,Rural,Seen,4.2,4.2,3.1,4.7,3.5,2.8,2.7
663,31-45,High School,30k-60k,Suburban,Seen,3.1,2.9,3.8,4.5,3.7,4.0,3.3
664,31-45,Some College,30k-60k,Suburban,Seen,4.2,4.2,3.5,3.9,3.8,2.9,3.1
665,31-45,Graduate Degree,30k-60k,Suburban,Seen,3.5,3.8,3.7,3.4,4.2,3.4,2.5
666,31-45,Some College,>150k,Urban,Seen,4.8,3.8,4.5,3.9,4.1,2.5,2.4
667,31-45,High School,>150k,Suburban,None,3.0,1.8,4.1,3.3,3.5,2.3,2.7
668,31-45,Some College,<30k,Suburban,None,2.3,2.7,3.6,3.0,4.1,3.4,3.1
669,31-45,Bachelor's,30k-60k,Urban,None,3.5,2.3,3.6,3.4,4.2,3.5,3.3
670,31-45,High School,30k-60k,Urban,None,3.5,2.5,3.3,3.1,4.7,2.8,2.9
671,31-45,Graduate Degree,30k-60k,Suburban,Interacted,3.5,2.6,3.5,3.5,4.1,2.9,2.6
672,31-45,Some College,60k-100k,Urban,Seen,4.4,2.6,4.3,4.2,3.7,3.0,2.9
673,31-45,Some College,<30k,Suburban,None,4.0,4.2,3.1,3.8,4.9,3.0,2.4
674,31-45,Bachelor's,60k-100k,Urban,None,4.8,2.9,4.0,4.2,4.8,3.1,2.6
675,31-45,High School,60k-100k,Rural,None,4.0,3.6,3.2,4.6,4.0,3.4,2.8
676,31-45,High School,100k-150k,Urban,Interacted,3.2,3.4,3.5,3.1,4.9,3.9,3.2
677,31-45,High School,60k-100k,Suburban,None,2.4,2.7,3.8,4.6,3.3,2.4,3.2
678,31-45,High School,<30k,Suburban,Seen,3.3,3.7,4.4,4.0,4.4,3.9,3.4
679,31-45,Bachelor's,30k-60k,Urban,Interacted,4.8,3.2,3.5,3.5,3.7,2.2,1.2
680,31-45,Some College,100k-150k,Suburban,Interacted,3.6,3.0,4.6,3.7,4.8,3.3,2.4
681,31-45,High School,100k-150k,Urban,None,3.5,3.5,4.6,3.6,4.8,3.3,3.5
682,31-45,Some College,30k-60k,Suburban,None,5.0,3.4,3.8,3.8,4.8,3.0,2.1
683,31-45,Bachelor's,<30k,Suburban,Seen,3.8,3.6,3.1,3.8,3.6,2.6,2.5
684,31-45,High School,30k-60k,Suburban,None,3.1,3.2,3.6,4.5,4.3,3.8,2.7
685,31-45,High School,30k-60k,Urban,None,2.6,3.2,4.1,4.5,3.6,2.9,3.0
686,31-45,High School,60k-100k,Suburban,None,3.2,3.2,2.5,3.7,3.3,2.7,2.9
687,31-45,Graduate Degree,60k-100k,Suburban,Interacted,4.3,4.0,4.2,4.5,4.8,3.0,2.8
688,31-45,Some College,30k-60k,Urban,Seen,3.3,2.3,4.2,2.5,4.3,3.3,2.8
689,31-45,High School,<30k,Suburban,Interacted,3.2,3.2,4.6,3.9,4.3,2.5,2.4
690,31-45,Graduate Degree,30k-60k,Urban,None,2.9,3.9,3.6,3.9,3.5,2.9,2.8
691,31-45,Some College,30k-60k,Suburban,Seen,4.7,3.9,3.2,3.5,4.5,4.0,3.1
692,31-45,Some College,>150k,Urban,Seen,4.5,3.3,3.5,3.1,5.0,3.0,2.9
693,31-45,Graduate Degree,30k-60k,Urban,Seen,3.7,3.2,2.9,3.8,4.0,2.2,2.9
694,31-45,Bachelor's,60k-100k,Rural,None,3.3,2.8,3.9,4.2,4.6,3.1,2.4
695,31-45,Bachelor's,<30k,Suburban,Seen,3.0,3.6,3.2,3.8,3.8,2.2,2.2
696,31-45,Some College,<30k,Suburban,None,4.8,3.5,3.9,4.2,4.8,2.5,2.4
697,31-45,Some College,30k-60k,Urban,Seen,4.7,4.1,4.4,2.5,4.2,2.9,3.1
698,31-45,High School,60k-100k,Suburban,Seen,5.0,4.2,3.9,2.7,4.4,3.6,2.8
699,31-45,Bachelor's,60k-100k,Urban,Seen,3.2,2.4,4.5,3.7,3.5,2.3,2.9
700,31-45,Bachelor's,<30k,Suburban,None,5.0,3.1,3.0,4.0,4.5,3.5,3.0
701,31-45,Graduate Degree,100k-150k,Urban,Interacted,3.5,3.7,3.4,2.9,3.4,2.7,3.1
702,31-45,High School,30k-60k,Urban,Seen,2.2,1.8,3.6,4.1,3.8,3.0,3.0
703,31-45,Graduate Degree,100k-150k,Suburban,Interacted,4.1,4.7,4.3,3.9,4.2,3.1,2.9
704,31-45,Some College,60k-100k,Suburban,None,2.0,2.1,5.0,4.5,3.9,3.1,2.8
705,31-45,Bachelor's,30k-60k,Suburban,Interacted,2.7,2.7,3.7,4.2,4.1,2.9,2.8
706,31-45,Graduate Degree,30k-60k,Suburban,Interacted,4.5,3.6,4.2,3.2,4.5,3.1,2.6
707,31-45,Bachelor's,30k-60k,Suburban,Seen,2.4,2.0,4.4,3.9,3.4,2.8,2.9
708,31-45,High School,60k-100k,Urban,None,3.1,2.0,2.9,3.5,3.5,3.3,2.1
709,31-45,Some College,30k-60k,Urban,None,3.7,4.1,3.7,4.2,4.0,3.1,4.3
710,31-45,High School,30k-60k,Suburban,Seen,4.2,3.2,4.1,3.0,4.2,3.0,2.6
711,31-45,Some College,<30k,Urban,Interacted,4.4,3.9,3.6,3.9,3.4,3.6,1.9
712,31-45,High School,30k-60k,Suburban,Interacted,5.0,3.6,3.7,4.9,4.4,3.1,3.0
713,31-45,Graduate Degree,100k-150k,Urban,Interacted,3.8,4.2,3.4,3.3,5.0,3.1,2.4
714,31-45,Some College,60k-100k,Urban,None,4.7,3.1,4.1,4.7,4.3,3.1,3.3
715,31-45,High School,30k-60k,Suburban,None,3.4,2.7,3.5,4.5,3.9,2.5,2.4
716,31-45,Some College,30k-60k,Rural,Seen,2.6,4.0,4.2,3.3,4.1,3.2,2.4
717,31-45,Some College,<30k,Suburban,Interacted,3.2,3.4,3.2,3.7,4.3,2.7,2.5
718,31-45,Some College,30k-60k,Suburban,Seen,3.5,3.5,4.1,4.2,4.2,3.3,2.6
719,31-45,Some College,<30k,Urban,None,3.2,2.6,4.0,2.9,4.5,3.0,3.2
720,31-45,Graduate Degree,30k-60k,Suburban,Interacted,4.0,3.5,3.6,3.2,5.0,4.0,2.8
721,31-45,Graduate Degree,<30k,Urban,Interacted,3.8,4.5,3.6,4.6,3.7,3.0,2.3
722,31-45,Some College,30k-60k,Rural,None,3.5,2.5,3.7,4.1,4.4,3.8,2.6
723,31-45,Bachelor's,30k-60k,Suburban,Seen,3.6,3.9,4.1,4.5,4.7,2.2,2.5
724,31-45,Some College,30k-60k,Urban,None,5.0,3.6,3.1,3.2,3.3,3.1,3.7
725,31-45,Graduate Degree,<30k,Suburban,Interacted,5.0,3.9,3.6,4.0,4.3,3.2,2.4
726,31-45,Bachelor's,30k-60k,Urban,None,4.1,3.8,3.8,4.7,4.8,3.8,2.8
727,31-45,High School,60k-100k,Urban,Seen,3.1,2.7,4.8,4.1,4.5,3.0,3.0
728,31-45,High School,60k-100k,Urban,Interacted,4.6,4.5,3.1,3.7,4.2,3.4,3.3
729,31-45,Some College,<30k,Urban,None,3.9,3.2,3.7,3.7,4.0,2.7,2.4
730,31-45,Graduate Degree,100k-150k,Suburban,Seen,4.0,3.5,4.1,4.5,4.9,3.8,3.5
731,31-45,Bachelor's,100k-150k,Rural,None,5.0,3.7,4.9,2.3,4.1,3.7,3.3
732,31-45,Bachelor's,<30k,Suburban,None,4.2,2.9,3.6,3.1,4.4,2.4,2.5
733,31-45,Bachelor's,60k-100k,Urban,None,3.6,3.1,3.7,4.1,4.0,2.1,3.3
734,31-45,Graduate Degree,100k-150k,Rural,Seen,3.8,3.4,4.0,3.9,3.4,3.5,2.5
735,31-45,Some College,30k-60k,Suburban,None,4.7,3.5,4.0,4.2,4.0,3.4,1.4
736,31-45,Bachelor's,60k-100k,Suburban,Interacted,3.5,3.5,3.7,3.3,4.3,3.2,2.3
737,31-45,Some College,60k-100k,Urban,None,4.9,3.4,4.2,4.4,4.8,2.7,3.4
738,31-45,Bachelor's,30k-60k,Rural,None,3.6,2.1,3.8,3.9,4.8,2.7,2.5
739,31-45,Some College,60k-100k,Urban,Interacted,3.0,3.5,4.7,3.8,5.0,2.6,2.2
740,31-45,Bachelor's,30k-60k,Urban,Interacted,4.3,3.7,5.0,3.6,4.1,3.2,2.7
741,31-45,Some College,30k-60k,Suburban,Seen,4.9,3.7,4.3,2.7,3.3,2.6,2.3
742,31-45,Bachelor's,<30k,Suburban,Seen,3.4,3.3,4.4,3.3,4.5,2.9,2.4
743,31-45,Some College,60k-100k,Rural,None,2.4,2.5,4.5,3.7,3.9,3.1,3.2
744,31-45,High School,>150k,Suburban,None,3.8,2.4,3.5,3.4,4.9,1.5,3.0
745,31-45,High School,<30k,Rural,Interacted,4.4,4.3,3.6,4.5,3.1,3.3,3.2
746,31-45,High School,30k-60k,Suburban,Seen,4.0,3.5,4.3,4.3,3.8,2.7,2.6
747,31-45,High School,60k-100k,Urban,None,4.3,4.0,3.8,3.3,4.3,4.0,2.6
748,31-45,Bachelor's,30k-60k,Suburban,Seen,4.4,3.1,2.9,3.5,3.8,3.3,2.6
749,31-45,Graduate Degree,60k-100k,Suburban,Seen,3.5,3.2,2.8,3.5,5.0,2.8,3.8
750,31-45,Graduate Degree,30k-60k,Suburban,None,2.4,2.9,4.2,3.8,4.2,3.5,2.4
751,31-45,Bachelor's,60k-100k,Suburban,None,3.9,2.4,3.7,2.7,3.5,4.0,3.7
752,31-45,Some College,30k-60k,Suburban,None,3.8,3.2,3.3,3.6,5.0,3.1,2.2
753,31-45,Graduate Degree,60k-100k,Suburban,Interacted,3.7,3.9,4.2,3.6,4.8,3.4,3.0
754,31-45,High School,30k-60k,Urban,Seen,4.4,3.3,3.9,4.0,4.0,2.7,2.5
755,31-45,Bachelor's,<30k,Urban,Seen,4.5,3.9,3.3,3.6,4.8,3.6,3.3
756,31-45,High School,60k-100k,Rural,Seen,3.3,4.5,4.0,4.1,5.0,3.1,3.1
757,31-45,Graduate Degree,<30k,Suburban,None,3.7,3.4,4.3,4.0,4.6,3.2,2.6
758,31-45,Graduate Degree,100k-150k,Urban,None,4.5,3.3,2.8,3.8,3.8,2.2,2.9
759,31-45,Some College,60k-100k,Suburban,None,3.0,2.5,4.6,3.5,4.2,3.1,2.8
760,31-45,Bachelor's,60k-100k,Suburban,None,3.3,2.6,4.4,4.1,4.2,1.6,2.5
761,31-45,High School,60k-100k,Urban,Seen,3.3,3.2,4.3,3.3,3.6,2.7,3.0
762,31-45,Some College,60k-100k,Suburban,Seen,4.0,2.5,3.3,3.2,3.7,2.9,2.4
763,31-45,Bachelor's,30k-60k,Suburban,Seen,3.2,3.3,3.2,3.2,4.0,3.1,2.7
764,31-45,High School,100k-150k,Suburban,None,5.0,4.0,3.9,4.3,4.4,2.4,2.6
765,31-45,Some College,60k-100k,Rural,Interacted,3.8,3.5,3.7,3.5,4.8,3.1,3.6
766,31-45,Bachelor's,<30k,Urban,Seen,3.1,3.3,3.5,3.3,3.6,2.6,3.5
767,31-45,Bachelor's,30k-60k,Suburban,None,3.6,2.9,3.4,4.0,4.3,3.5,2.2
768,31-45,Bachelor's,60k-100k,Suburban,Seen,4.0,3.5,3.2,4.6,4.0,2.5,2.5
769,31-45,Some College,30k-60k,Suburban,None,3.5,3.4,4.4,3.8,4.4,3.6,3.2
770,31-45,High School,100k-150k,Suburban,None,3.8,2.3,4.0,4.3,4.2,2.4,2.6
771,31-45,Some College,100k-150k,Suburban,Seen,3.6,3.7,4.5,3.9,4.6,2.6,3.3
772,31-45,Some College,60k-100k,Rural,Seen,4.4,3.2,2.9,3.6,4.4,4.2,1.9
773,31-45,Some College,<30k,Urban,None,3.4,2.4,3.4,2.2,4.5,2.2,2.4
774,31-45,Some College,<30k,Suburban,Seen,3.2,3.2,3.6,3.9,3.7,2.9,2.9
775,31-45,Bachelor's,30k-60k,Suburban,Seen,3.7,3.0,4.2,3.7,5.0,3.8,3.1
776,31-45,Bachelor's,30k-60k,Suburban,None,3.0,2.5,4.3,3.5,4.4,2.6,3.3
777,31-45,Bachelor's,30k-60k,Urban,Interacted,1.9,2.7,3.4,4.0,4.1,2.9,2.6
778,31-45,Some College,30k-60k,Suburban,None,4.6,3.3,4.4,3.5,4.0,2.9,3.1
779,31-45,Bachelor's,30k-60k,Suburban,Seen,2.1,3.3,4.5,3.7,4.2,3.5,2.5
780,31-45,High School,>150k,Suburban,Seen,4.8,4.0,4.0,3.4,4.0,2.9,2.5
781,31-45,Graduate Degree,60k-100k,Urban,Interacted,2.9,3.3,3.8,2.6,4.1,2.9,3.0
782,31-45,Some College,>150k,Urban,Seen,3.3,2.2,2.2,4.6,4.3,3.5,2.8
783,31-45,High School,60k-100k,Urban,None,5.0,3.5,3.9,3.1,3.8,3.1,3.3
784,31-45,Bachelor's,60k-100k,Urban,Seen,3.7,3.0,3.1,4.2,3.4,3.2,3.0
785,31-45,Graduate Degree,<30k,Rural,Seen,3.1,2.6,3.7,4.0,4.1,3.7,3.8
786,31-45,Some College,30k-60k,Suburban,Interacted,4.4,4.6,4.0,3.3,4.0,3.4,2.8
